CHILE;SANTIAGO DE CHILE;COMUNA DE SANTIAGO;AVENIDA;PRESIDENTE BALMACEDA;;99999
COLOMBIA;BOLIVAR;CARTAGENA DE INDIAS;CALLE;AVDA. DEL ARSENAL, CRA 10 B;;4240
CUBA;LA HABANA;LA HABANA;CALLE;FOMENTO ENTRE RECREO Y SUSARTE;;12000
ESPAÑA;A CORUÑA;ARTEIXO;AVENIDA;DIPUTACIÓN;;15142
ESPAÑA;A CORUÑA;ARTEIXO;CALLE;POLIGONO IND. SABON;;15080
ESPAÑA;A CORUÑA;CULLEREDO;CALLE;TEMPLARIOS;;15670
ESPAÑA;A CORUÑA;LA CORUÑA;CALLE;AV ALFONSO MOLINA;;15008
ESPAÑA;A CORUÑA;LA CORUÑA;CALLE;CANTON PEQUEÑO;;15003
ESPAÑA;A CORUÑA;LA CORUÑA;CALLE;GUTENBERG;;15008
ESPAÑA;A CORUÑA;LA CORUÑA;CALLE;MENENDEZ PELAYO;;15005
ESPAÑA;A CORUÑA;LA CORUÑA;POLIGONO;PROCOMACO 1ª AVENIDA;;15190
ESPAÑA;A CORUÑA;LA CORUÑA;CALLE;TEMPLARIOS;;15670
ESPAÑA;A CORUÑA;SANTIAGO DE COMPOSTELA;CALLE;RUA DEL VILLAR;;15705
ESPAÑA;ALAVA;VITORIA;CALLE;SAN ANTONIO;;1005
ESPAÑA;ALBACETE;ALBACETE;CALLE;BAÑOS;;2005
ESPAÑA;ALBACETE;ALBACETE;CALLE;CASAS IBAÑEZ;;2005
ESPAÑA;ALBACETE;ALBACETE;CALLE;CUESTA DEL RIO;;2320
ESPAÑA;ALBACETE;ALBACETE;CARRETERA;DE MAHORA;;2006
ESPAÑA;ALBACETE;ALBACETE;CALLE;DEL CURA;;2001
ESPAÑA;ALBACETE;ALBACETE;CALLE;DERECHO;;2006
ESPAÑA;ALBACETE;ALBACETE;CALLE;DON QUIJOTE;;2006
ESPAÑA;ALBACETE;ALBACETE;AVENIDA;ESPAÑA;;2002
ESPAÑA;ALBACETE;ALBACETE;CALLE;FRANCISCO FONTECHA;;2001
ESPAÑA;ALBACETE;ALBACETE;CALLE;IRIS;;2005
ESPAÑA;ALBACETE;ALBACETE;CALLE;JOSE LUIS SANCHEZ (ALMANSA);;2640
ESPAÑA;ALBACETE;ALBACETE;CALLE;JUAN SEBASTIAN EL CANO;;2002
ESPAÑA;ALBACETE;ALBACETE;CALLE;LOGROÑO;;2008
ESPAÑA;ALBACETE;ALBACETE;CALLE;MARTINEZ VILLENA;;2001
ESPAÑA;ALBACETE;ALBACETE;CALLE;MIGUEL SERVET;;2006
ESPAÑA;ALBACETE;ALBACETE;CALLE;MINGO YUSTE (EL BONILLO);;2610
ESPAÑA;ALBACETE;ALBACETE;CALLE;NUÑEZ;;2400
ESPAÑA;ALBACETE;ALBACETE;CALLE;PADRE ROMANO;;2005
ESPAÑA;ALBACETE;ALBACETE;CALLE;PERIODISTA DEL CAMPO AGUILAR;;2002
ESPAÑA;ALBACETE;ALBACETE;CALLE;ROSARIO;;2001
ESPAÑA;ALBACETE;ALBACETE;CALLE;ROSARIO;;2003
ESPAÑA;ALBACETE;ALBACETE;PASEO;SIMÓN ABRIL;;
ESPAÑA;ALBACETE;ALBACETE;CALLE;VIENNE;;2005
ESPAÑA;ALBACETE;CHINCHILLA;CALLE;TRAVESIA INTERIOR;;2500
ESPAÑA;ALBACETE;CHINCHILLA;CALLE;TRAVESIA INTERIOR;CHINCHILLA;2500
ESPAÑA;ALBACETE;HELLIN;CALLE;LOMA DE LA CHARCA;;2400
ESPAÑA;ALBACETE;HELLIN;CALLE;MESONES;;2400
ESPAÑA;ALBACETE;HELLIN;CALLE;MIGUEL DE UNAMUNO;;2420
ESPAÑA;ALBACETE;ISSO;CALLE;MIGUEL DE UNAMUNO;;2420
ESPAÑA;ALBACETE;OSSA DE MONTIEL;CARRETERA;BADAJOZ-VALENCIA;;2611
ESPAÑA;ALBACETE;SOCOVOS;CALLE;PINTOR PAREJA;;2435
ESPAÑA;ALBACETE;Tobarra;CALLE;CARCELEN;;2500
ESPAÑA;ALICANTE;ALBATERA;CALLE;DOCTOR FERRER SARRIO;;3340
ESPAÑA;ALICANTE;ALBATERA;CALLE;MIGUEL DE UNAMUNO;;3340
ESPAÑA;ALICANTE;ALCOY;CALLE;SAN NICOLAS;;3801
ESPAÑA;ALICANTE;Algorfa;CALLE;RAMON Y CAJAL;;3169
